Outline Level,ID,Name,Start,Finish,Duration
1,1,Проектирование системы,2024-10-07,2024-10-24,14
2,2,Определение требований,2024-10-07,2024-10-15,7
2,3,Проектирование архитектуры,2024-10-16,2024-10-24,7
1,4,Разработка модулей,2024-10-25,2025-03-26,109
2,5,Реализация парсинга,2024-10-25,2024-11-22,21
2,6,Реализация конвертации,2024-11-25,2025-02-14,60
2,7,Реализация предобработки,2025-02-17,2025-03-06,14
2,8,Реализация работы с пользователем,2025-03-07,2025-03-17,7
2,9,Реализация генерации отчетов,2025-03-18,2025-03-26,7
1,10,Тестирование,2025-03-27,2025-04-18,17
2,11,Разработка тестов,2025-03-27,2025-04-15,14
2,12,Проведение тестирования,2025-04-16,2025-04-18,3
1,13,Документация,2025-04-21,2025-05-09,15
2,14,Написание пользовательской документации,2025-04-21,2025-04-29,7
2,15,Подготовка технической документации,2025-04-30,2025-05-08,7
2,16,Разработка инструкции по внедрению,2025-05-09,2025-05-09,1
1,17,Запуск и развертывание системы,2025-05-12,2025-05-12,1
