Name,Start,Finish,Duration
Определение требований,2024-10-07,2024-10-15,7
Проектирование архитектуры,2024-10-16,2024-10-24,7
Реализация парсинга,2024-10-25,2024-11-22,21
Реализация конвертации,2024-11-25,2025-02-14,60
Реализация предобработки,2025-02-17,2025-03-06,14
Реализация работы с пользователем,2025-03-07,2025-03-17,7
Реализация генерации отчетов,2025-03-18,2025-03-26,7
Разработка тестов,2025-03-27,2025-04-15,14
Проведение тестирования,2025-04-16,2025-04-18,3
Написание пользовательской документации,2025-04-21,2025-04-29,7
Подготовка технической документации,2025-04-30,2025-05-08,7
Разработка инструкции по внедрению,2025-05-09,2025-05-09,1
Запуск и развертывание системы,2025-05-12,2025-05-12,1
